"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato";"peso_upt"
"10600";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";3683,95218705018;"Superior completo";"Feminino";"Preta";17,4556962025316;2758;533010206;0,780199918533605
"10601";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";26955,7477101233;"Superior completo";"Masculino";"Branca";20,7520661157025;2511;533010111;0,780199918533605
"10602";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";2219,42287690875;"Médio completo";"Masculino";"Branca";25,8796296296296;2795;533010105;0,780199918533605
"10603";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";2522,07145103267;"Médio completo";"Masculino";"Branca";24,1186440677966;2846;533010107;0,780199918533605
"10604";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 30 minutos e 1 hora";2336,16480154402;"Superior completo";"Masculino";"Branca";23,2991452991453;2726;533010106;0,780199918533605
"10605";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";2935,39656492439;"Médio completo";"Masculino";"Branca";4,8780487804878;400;533020110;0,780199918533605
"10606";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";2568,47199430884;"Médio completo";"Feminino";"Outros";5,26262626262626;521;533020209;0,780199918533605
"10607";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";718,819938936621;"Superior incompleto";"Feminino";"Branca";18,3712121212121;2425;533010204;0,780199918533605
"10608";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";1100,77371184665;"Fundamental incompleto";"Masculino";"Outros";5,97674418604651;514;533020108;0,780199918533605
"10609";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior completo";"Masculino";"Outros";4,26760563380282;303;533020111;0,780199918533605
"10610";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";6421,17998577211;"Médio completo";"Feminino";"Outros";5,26262626262626;521;533020209;0,780199918533605
"10611";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 1 hora e 1 hora e 30 minutos";5750,55951149297;"Superior completo";"Masculino";"Outros";4,26760563380282;303;533020111;0,780199918533605
"10612";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Feminino";"Branca";20,1788079470199;3047;533010208;0,780199918533605
"10613";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Masculino";"Branca";19,6861313868613;2697;533010108;0,780199918533605
"10614";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";8985,24923670776;"Superior completo";"Masculino";"Branca";20,4586466165414;2721;533010109;0,780199918533605
