endtime;A01nficha;A01ra;A01setor;A01npessoas;B01;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13_1;B13_2;B13_3;B13_4;B13_5;B13_6;B14_1;B14_2;B14_3;B14_4;B15_1;B15_2;B15_3;B15_4;B15_5;B16_1;B16_2;B16_3;B16_4;B16_5;B16_6;B17_1;B17_2;B17_3;B17_4;B17_5;B17_6;B18_1;B18_2;B18_3;B18_4;B18_5;B18_6;B19_1;B19_2;B19_3;B19_4;B19_5;B19_6;B19_7;B19_8;B19_9;B20_1;B20_2;B20_3;C01;C01_1;C02;C02_1;C03;C03_1;C04;C04_1_1;C04_1_2;C05_1;C05_2;C05_3;C06_1;C06_2;C06_3;C06_4;C06_5;C06_6;C06_7;C06_8;C06_9;C06_10;C06_11;C06_12;C06_13;C06_14;C06_15;C06_16;C06_17;C06_18;C07;C07_1;C08;C08_1;C08_2;C09_1;C09_2;C09_3;C09_4;C10;C10_1;C10_2;C10_3;C10_4;C10_5;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;D13;D14;grupo_pdad;UPT;criterio_brasil;arranjos;inseg_alimentar;renda_domiciliar;renda_domiciliar_r;renda_domiciliar_pc;renda_domiciliar_pc_r;PESO_PRE;PESO_DOM;TOT_DOM
20211101;58879;22;53220;1;1;5;1;99999;99999;1;1;3;3;2;1;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;99999;2;99999;1;1;1;1;2;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;2;99999;2;99999;99999;22;1;59;59;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;4;1;1;7000;6704,34634400735;7000;6704,34634400735;17,5911365260901;21,1935193519352;23545,9999999997
20210511;55166;9;53090;3;1;2;1;99999;99999;1;1;3;2;6;3;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;3;1;2;2;2;2;2;2;1;2;2;1;2;1;1;2;2;1;2;1;2;1;1;2;99999;2;99999;1;1;1;2;2;2;1;0;1;0;1;0;0;0;0;2;0;0;0;0;1;1;0;0;2;99999;2;99999;99999;9;9;9;9;1;1;0;1;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;3;6;4;3;1; ; ; ; ;88,0380184331797;136,953980099502;110110,999999998
20211007;33715;28;53280;4;1;2;1;99999;99999;2;1;3;4;5;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;3;1;1;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2;99999;2;99999;1;1;1;2;2;2;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;2;99999;2;99999;99999;28;59;59;28;2;99999;99999;99999;99999;99999;2;2;1;1;2;2;2;2;1;2;2;2;2;2;4;4;4;4;2;4800;4654,73189026796;1200;1163,68297256699;28,0683760683761;32,0298507462687;17167,9999999999
20211009;56040;1;53011;2;1;1;3;99999;2500;99999;1;3;5;6;2;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;99999;2;99999;1;1;1;1;2;1;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;2;1;1;1;1;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;3;2;1; ; ; ; ;23,2221074380165;32,2041513715322;48413,0000000001
20211021;68810;1;53012;2;1;1;3;99999;2300;99999;1;3;5;7;2;2;1;2;2;2;2;88888;1;2;2;2;1;2;88888;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;99999;2;99999;1;1;1;1;2;1;1;0;1;0;0;1;0;0;0;2;0;0;1;3;2;1;0;0;2;99999;1;1;5;1;1;59;1;1;1;0;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;3;2;1;12000;11636,8297256699;6000;5818,41486283495;16,957468879668;20,2117863720074;32925,0000000009
20211014;99328;33;53330;4;2;2;3;99999;800;99999;1;3;2;5;2;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;2;1;1;1;2;2;1;2;2;2;99999;2;99999;2;99999;2;1;1;2;2;2;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;2;99999;2;99999;99999;33;3;33;3;2;99999;99999;99999;99999;99999;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;4;2;6100;5915,3884438822;1525;1478,84711097055;18,2333333333333;26,9888268156425;14493,0000000001
20211019;57121;7;53070;3;1;2;1;99999;99999;2;1;3;2;5;2;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;2;1;1;2;2;2;2;2;2;2;1;1;2;1;1;2;2;2;2;2;2;2;99999;2;99999;2;99999;1;1;1;2;2;2;1;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;2;99999;2;99999;99999;7;7;7;7;2;99999;99999;99999;99999;99999;2;1;1;1;2;2;2;2;99999;99999;99999;99999;99999;99999;4;4;6;3;2;1050;1018,22260099612;350;339,407533665372;28,2474048442907;38,1254545454545;20968,9999999998
20211003;68522;25;53252;4;1;2;1;99999;99999;2;2;2;2;4;2;1;2;2;2;2;1;1;2;1;2;2;2;2;2;2;1;2;1;1;88888;88888;2;2;2;99999;99999;2;2;2;1;1;1;1;1;2;2;2;1;2;1;1;1;1;1;88888;88888;1;1;2;99999;1;3;1;1;1;2;2;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;2;99999;2;99999;99999;25;3;59;25;1;1;1;0;0;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;4;3;6;3;4;1600;1551,57729675599;400;387,894324188997;4,67578125;5,03762376237624;2544
20211217;83695;1;53013;2;1;1;1;99999;99999;1;1;3;5;4;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;99999;99999;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;99999;2;99999;1;1;1;1;2;1;1;1;0;0;1;0;0;0;0;2;0;0;2;2;1;1;0;0;2;99999;1;1;3;1;1;1;1;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;1;4;6;1;13000;12322,7720947992;6500;6161,38604739959;5,33381398702235;5,31349911190053;5982,9999999999
20210805;6145;3;53032;2;1;4;3;99999;650;99999;1;3;1;6;1;1;1;2;2;2;2;1;1;1;2;2;1;2;2;2;2;1;1;2;2;2;2;1;1;1;2;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;99999;2;99999;2;1;1;2;2;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;1;1;0;0;2;99999;2;99999;99999;3;3;3;3;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;6;5;6;1;3100;3072,34886025768;1550;1536,17443012884;2,00719424460432;2,72361351152857;2096
