"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato"
"2766";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";15594,2942511608;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107
"2767";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4127,90141942493;"Superior completo";"Feminino";"Branca";17,25;2415;530120206
"2768";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior completo";"Masculino";"Branca";19,5866666666667;2938;530120110
"2769";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4586,55713269436;"Superior completo";"Feminino";"Branca";25,8778625954198;3390;530120210
"2770";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";12383,7042582748;"Superior completo";"Feminino";"Parda";23,1388888888889;2499;530120214
"2771";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Masculino";"Branca";7,32142857142857;410;530130112
"2772";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Feminino";"Branca";11,2264150943396;595;530130211
"2773";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3291,35639739459;"Superior incompleto";"Masculino";"Branca";17,7539682539683;2237;530120106
"2774";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";16511,6056776997;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107
"2775";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";8985,24923670776;"Superior completo";"Feminino";"Branca";7,59345794392523;1625;530130208
"2776";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";6289,67446569543;"Superior completo";"Masculino";"Branca";14,695;2939;530120108
"2777";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3144,83723284772;"Superior completo";"Masculino";"Branca";11,131455399061;2371;530120107
"2778";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";20180,8513838552;"Superior completo";"Feminino";"Branca";9,73793103448276;1412;530130209
"2779";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Masculino";"Branca";19,5866666666667;2938;530120110
